Meno,Link,Licencia
Ziacka liga v sachu  Kosice 21.rocník 4.turnaj 17.2,https://chess-results.com/tnr882734.aspx,Creator/Last Upload: Slovak Chess Federation license 2
"ŠACHOVÝ TURNAJ CENADA - Turnaj C, Začiato",https://chess-results.com/tnr892106.aspx,Creator/Last Upload: Slovak Chess Federation license 6
"ŠACHOVÝ TURNAJ CENADA - Turnaj A, GPX ",https://chess-results.com/tnr892104.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Šachový turnaj 4_listok_2 ,https://chess-results.com/tnr894542.aspx,Creator/Last Upload: Slovak Chess Federation
Šachový turnaj 4_listok_1 ,https://chess-results.com/tnr894539.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 17.2.202,https://chess-results.com/tnr894066.aspx,Creator/Last Upload: Slovak Chess Federation
4. turnaj - XI. Ročník REINTER GPX v šach,https://chess-results.com/tnr894565.aspx,Creator/Last Upload: Slovak Chess Federation license 9
Šach-Mat 6.kolo Šachovo barová liga v Chi,https://chess-results.com/tnr835246.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Turnaj Generácií 2024 ,https://chess-results.com/tnr896707.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Majstrovstvá Bratislavského kraja 4-členných d,https://chess-results.com/tnr887355.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Majstrovstvá Bratislavského kraja 4-členných d,https://chess-results.com/tnr887409.aspx,Creator/Last Upload: Slovak Chess Federation license 5
SVK 5. liga A11Nad_24 ,https://chess-results.com/tnr896517.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Šachový turnaj pre najmenších 23.02. 2024,https://chess-results.com/tnr895595.aspx,Creator/Last Upload: Slovak Chess Federation license 4
ŠACHOVÝ TURNAJ O POHÁR PRIMÁTORA MESTA TRNAVA ,https://chess-results.com/tnr876866.aspx,Creator/Last Upload: Slovak Chess Federation license 6
Nizny Klatov - OPEN 7.rocnik ,https://chess-results.com/tnr892177.aspx,Creator/Last Upload: Slovak Chess Federation license 2
Network Cafe Bardejov - GPX mládeže - 24.2.202,https://chess-results.com/tnr897634.aspx,Creator/Last Upload: Slovak Chess Federation
GPX o Pohár Šachuľka Matového v Ihrysku 2,https://chess-results.com/tnr874477.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"FoosBar ŠACH-BAR liga, 2023-24, 6. kolo ",https://chess-results.com/tnr899435.aspx,Creator/Last Upload: windvd
5. turnaj serialu Talent 2023/24 21.10.2023 - 23.03,https://chess-results.com/tnr888862.aspx,Creator/Last Upload: Slovak Chess Federation license 1
Levie srdce 2024 ,https://chess-results.com/tnr883744.aspx,Creator/Last Upload: Slovak Chess Federation
Network Cafe Bardejov - GPX mládeže - 28.2.202,https://chess-results.com/tnr900310.aspx,Creator/Last Upload: Slovak Chess Federation
Prázdninový FIDE turnaj Stropkov 2024 ,https://chess-results.com/tnr886008.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Veľká cena Topoľčian v bleskovom ,https://chess-results.com/tnr902059.aspx,Creator/Last Upload: Slovak Chess Federation license 1
Slovakia Chess Open - Modranský pohár Ľudovíta,https://chess-results.com/tnr838996.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Network Cafe Bardejov - GPX mládeže - 2.3.2024,https://chess-results.com/tnr901639.aspx,Creator/Last Upload: Slovak Chess Federation
"Račiansky superturnaj ""C"" rapid bez ",https://chess-results.com/tnr848476.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"Račiansky superturnaj ""B"" rapid bez ",https://chess-results.com/tnr848477.aspx,Creator/Last Upload: Slovak Chess Federation license 4
3.Kolo ,https://chess-results.com/tnr904377.aspx,Creator/Last Upload: Slovak Chess Federation license 7
"Račiansky superturnaj ""A"" FIDE š",https://chess-results.com/tnr848430.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"Račiansky superturnaj ""D"" Blitz bez ",https://chess-results.com/tnr848531.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"Majstrovstvá okresu Stropkov ZŠ, 4.kolo 8.3.20",https://chess-results.com/tnr896429.aspx,Creator/Last Upload: Slovak Chess Federation license 3
"Majstrovstvá okresu Stropkov turnaj SŠ, 4.kolo",https://chess-results.com/tnr896425.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Tomášovská liga mládeže 2023/24 - 6. turn,https://chess-results.com/tnr903649.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Tomášovce open 2023/24 - 6. turnaj ,https://chess-results.com/tnr903650.aspx,Creator/Last Upload: Slovak Chess Federation license 5
Network Cafe Bardejov - GPX mládeže - 9.3.2024,https://chess-results.com/tnr906057.aspx,Creator/Last Upload: Slovak Chess Federation
Myjavský šachový turnaj ,https://chess-results.com/tnr897700.aspx,Creator/Last Upload: Slovak Chess Federation license 3
Memorial Ferdinanda Bišču 12. rocnik 2024,https://chess-results.com/tnr892212.aspx,Creator/Last Upload: Slovak Chess Federation
Memorial Ferdinanda Biscu 12. rocník  2024 GPX ,https://chess-results.com/tnr892216.aspx,Creator/Last Upload: Slovak Chess Federation
Žiacka šachová liga Vranova 2023-2024 4. ,https://chess-results.com/tnr909784.aspx,Creator/Last Upload: Slovak Chess Federation license 9
Šachom proti drogám (Liptovská Teplá) ,https://chess-results.com/tnr911024.aspx,Creator/Last Upload: Slovak Chess Federation license 4
ZOBOR CUP 2023/24 -  6. turnaj  ,https://chess-results.com/tnr885409.aspx,Creator/Last Upload: Slovak Chess Federation license 5
"ZOBOR CUP 2023/24  -  ""B"" - 6. turnaj  ",https://chess-results.com/tnr885419.aspx,Creator/Last Upload: Slovak Chess Federation license 5
"ŠACHOVÝ TURNAJ GPX CENADA - Turnaj A, GPX ",https://chess-results.com/tnr908002.aspx,Creator/Last Upload: Slovak Chess Federation license 4
"ŠACHOVÝ TURNAJ CENADA - Turnaj C, Začiato",https://chess-results.com/tnr908023.aspx,Creator/Last Upload: Slovak Chess Federation license 4
